Type;Nom;Prix Achat;Prix Vente;Contenance;Photo;Stock;Max;Seuil;Allergies;Description
Soft;Coca Cola;0,3;2;20 cl;coca.jpg;56;72;24;Preservative E211;"Coca-Cola is a sweet soft drink cola manufactured by the Coca-Cola Company. The name ""Coca-Cola"" comes from two ingredients used for its original composition: the coca leaf and kola nut."
Soft;Coca Light;0,35;2,3;20 cl;cocalight.jpg;64;72;24;Preservative E212;"The Coca-Cola Light is a version of Coca-Cola without sugar and no calories, the brand is marketed in the United States and in other countries under the ""Diet Coke""."
Soft;Sprite;0,35;2,3;20 cl;sprite.jpg;35;48;12;Preservative E213;Sprite is a soft drink made with lemon and lime extracts created by The Coca-Cola Company in 1961. Its taste is close to the lemonade. Sprite contains carbon dioxide, citric acid, soda water, sodium citrate, natural essences and sodium benzoate.
Soft;Fanta;0,35;2,3;20 cl;fanta.jpg;43;48;12;Preservative E214;Fanta is a soft drink with orange flavor. It is a trademark of German soda produced and distributed by The Coca-Cola Company.
Soft;Orangina;0,4;2,4;20 cl;orangina.jpg;32;48;12;;Orangina is a French sweet soft drink made from oranges and lemons in the group Orangina Schweppes, itself owned by the Suntory group.
Soft;Ice Tea;0,45;2,6;25 cl;icetea.jpg;27;48;12;;Ice Tea is a soft drink made from sweet iced tea. It is marketed by PepsiCo. The brand is owned by Unilever Lipton.
Soft;Ice Tea Peach;0,45;2,6;25 cl;iceteapeche.jpg;35;48;12;;Ice Tea Peach is a non-sparkling drink made from sweet iced tea, peach flavor. It is marketed by PepsiCo. The brand is owned by Unilever Lipton.
Soft;Schweppes Tonic;0,4;2,4;20 cl;schweppestonic.jpg;41;48;12;;Schweppes Tonic is a tonic water containing quinine and bitter orange extracts that give the beverage a bitter taste. The Indian Tonic is based on the custom of British settlers stationed in India who regularly drank beverages containing quinine to guard against malaria.
Soft;Schweppes Agrum;0,4;2,4;20 cl;schweppesagrumes.jpg;39;48;12;;Schweppes Citrus is a sweet sparkling water without quinie, flavored with four flavors of citrus fruits: orange, grapefruit, lime, tangerine.
Soft;Oasis;0,4;2,4;20 cl;oasis.jpg;33;48;12;;Oasis is a non-sparkling drink flavored with sweet tropical fruits, owned by Orangina Schweppes Group.
Soft;Chocomel;0,45;2,6;20 cl;cecemel.jpg;17;24;6;Lactose, Histamin;Chocomel is a chocolate drink milk produced by Campina in the Netherlands in the city of Amersfoort.
Soft;Syrup with water;0,2;1,5;25 cl;sirop.jpg;42;60;20;;Non-sparkling drink composed of water and syrup. Flavours available: mint, grenadine or strawberry.
Soft;Red Bull;0,6;3,9;25 cl;redbull.jpg;51;72;24;;Red Bull is an energy drink containing carbonated mineral water, caffeine, taurine, Vitamin B as well as sucrose and glucose.
Soft;Fruit Juice;0,4;2,4;20 cl;jusdefruit.jpg;25;50;12;;Freshly squeezed fruit juice. Flavor available: orange, apple or pineapple.
Soft;Spa Water;0,35;2,3;25 cl;spa.jpg;43;72;24;;Spa water is a Belgian mineral water exploited from multiple sources in Spa in the province of Liège. It is produced by Spa Monopole SA, part of Spadel group.
Soft;Spa Sparkling Water;0,35;2,3;25 cl;spapetillante.jpg;57;72;24;;Sparkling Spa water is a Belgian mineral water exploited from multiple sources in Spa in the province of Liège. It is produced by Spa Monopole SA, part of Spadel group.
Soft;San Pellegrino 50cl;0,7;4,2;50 cl;sanpellegrino.jpg;41;48;12;;Mineral water originating from the source of San Pellegrino in Italy, with the addition of natural carbon dioxide.
Hot;Coffee Small;0,2;1,5;Petit;cafe.jpg;22;60;20;Histamin;Espresso-type coffee very strong with a strong aroma, obtained by percolation under high pressure.
Hot;Coffee Large;0,35;2,3;Grand;cafe.jpg;25;60;20;Histamin;Double Espresso, very spicy coffee with a strong aroma, obtained by percolation under high pressure.
Hot;White Coffee Small;0,25;1,7;Petit;cafe.jpg;34;60;20;Lactose, Histamin;Coffee where we add a cloud of cream.
Hot;White Coffee Large;0,42;2,5;Grand;cafe.jpg;32;60;20;Lactose, Histamin;Double coffee where we add a cloud of cream.
Hot;Cappucino;0,42;2,5;Grand;cafe.jpg;41;60;20;Lactose, Histamin;Coffee served in a large cup, made from espresso and topped with preheated milk. It is sprinkled with a little bitter chocolate.
Hot;Decaffeinated Coffee;0,4;2,4;Grand;cafe.jpg;43;50;12;Histamin;Coffee without caffeine.
Hot;Tea;0,4;2,4;Grand;the.jpg;35;50;12;;Tea infusion. Flavours available: mint, green tea or jasmine.
Hot;Hot Chocolate;0,47;2,7;Grand;chocolat.jpg;26;50;12;Lactose, Histamin;Hot drink made with melted chocolate in semi-skimmed milk.
Beer;Jupiler 25cl;0,35;2,3;25 cl;jupiler.jpg;97;120;48;Gluten;Belgian blond beer of low fermentation, lager type. Tap served in a 25 cl glass. Degrees of alcohol: 5.2 °
Beer;Jupiler 33cl;0,5;2,8;33 cl;jupiler.jpg;49;96;32;Gluten;Belgian blond beer of low fermentation, lager type. Tap served in a 33 cl glass. Degrees of alcohol: 5.2 °
Beer;Jupiler 50cl;0,7;4,2;50 cl;jupiler.jpg;58;72;24;Gluten;Belgian blond beer of low fermentation, lager type. Tap served in a 50 cl glass. Degrees of alcohol: 5.2 °
Beer;Leffe Blond;0,55;3,6;33 cl;leffeblonde.jpg;36;48;12;Gluten;Leffe Blond is an authentic abbey blond beer with a sweet bitterness that is savored at any time of the day. Served on tap. Degrees of alcohol: 6.6 °
Beer;Leffe Brown;0,55;3,6;33 cl;leffebrune.jpg;21;24;6;Gluten;Leffe Brown is an authentic abbey beer to beautiful mahogany color and full, slightly sweet flavor that makes every sip an exceptional moment. A color and a unique flavor resulting from the use of roasted malt. Served on tap. Degrees of alcohol: 6.5 °
Beer;Hoegarden White;0,42;2,5;25 cl;hoegaardenblanche.jpg;25;48;12;Gluten;Hoegaarden White is brewed with coriander and lemon zest for research in taste and freshness. It presents an intriguing dress of a troubled blonde is explained by the fact that the beer is not filtered. Served on tap, along with a slice of lemon. Degrees of alcohol: 4.9 °
Beer;Hoegarden Pink;0,51;3;25 cl;hoegaardenrosee.jpg;19;48;12;Gluten;It has a natural flavor raspberry pronounced and subtle touches of spices and coriander. Like the original white, Hoegaarden Pink is unfiltered, giving it its cloudy appearance. Degrees of alcohol: 3
Beer;Carlsberg;0,52;3,1;25 cl;carlsberg.jpg;39;72;24;Gluten;Carlsberg beer is revealed in a clear blond dress but also brilliant. It is distinguished by its brightness, freshness, fine carbonation with its fine bubbles. In the mouth, the Carlsberg reveals surprising flavors. Degrees of alcohol: 5 °
Beer;Bush 12° Amber;0,54;3,5;25 cl;bush.jpg;13;24;6;Gluten;The Bush Amber is one of the very strong beers from Belgium. It is an amber beer filtered and from high fermentation. It releases in glass of fruity aromas of caramel malt and which are accompanied by alcohol smell. Degrees of alcohol: 12 °
Beer;Leffe Triple;0,7;4,2;33 cl;leffetriple.jpg;19;24;6;Gluten;Leffe Triple is a true authentic abbey beer which, thanks to the presence of yeast, received a bottle fermentation. It offers a rich and nuanced flavor. Degrees of alcohol: 8.5 °
Beer;Chimay Blue;0,7;4,2;33 cl;chimaybleue.jpg;17;48;12;Gluten;Chimay Blue is the strongest and most complex of the Trappist beers of the Abbey of Notre Dame de Scourmont. It offers a bouquet of spices and fruity nose, very characteristic of Chimay. Degrees of alcohol: 9 °
Beer;Cuvée des Trolls;0,52;3,1;33 cl;trolls.jpg;8;24;6;Gluten;La Cuvée des Trolls is flavored with dried orange peel. They give this beer a note of freshness and particularly pleasant and fruity aromas. Degrees of alcohol: 7 °
Beer;Desperados;0,65;4,1;33 cl;desperados.jpg;34;72;24;Gluten;The Desperados beer is a light blonde, flavored tequila. This beer is a special product that is at the boundary between light beer and alcoholic cocktail. Degrees of alcohol: 5.9 °
Beer;Gueuze Belle Vue;0,51;3;33 cl;bellevue.jpg;21;24;6;Gluten;Geuze Bellevue is a spontaneous fermentation beer. It is composed of a mix of young and older lambic Lambic. Its taste is both a light, sweet, bitter and safe. Degrees of alcohol: 5.2 °
Beer;Tripel Karmeliet;0,55;3,6;33 cl;karmeliet.jpg;34;48;12;Gluten;The Triple Karmeliet beer is one of the classic Belgian beers. On tasting, the Belgian beer has a golden blond color and a creamy foam. Degrees of alcohol: 8 °
Beer;Lindemans Peach;0,65;4,1;25 cl;lindemans.jpg;18;24;6;Gluten;This is a Lindemans Lambic style beer, brewed with barley malt, wheat and peach juice before adding a period of maturation in oak barrels. Degrees of alcohol: 2.5 °
Beer;Rochefort 8°;0,75;4,6;33 cl;rochefort8.jpg;23;48;12;Gluten;The Rochefort 8 is an original and flavored Trappist beer. First pungent then sweet. Tasting this beer is very pleased with the roundness given by the caramel and chocolate. Degrees of alcohol: 9.2 °
Beer;Rochefort 10°;0,86;5,6;33 cl;rochefort10.jpg;31;48;12;Gluten;The Rochefort 10 ° is a brown Trappist beer. This is the most alcoholic beer of the Abbey of Rochefort and is also the richest. Degrees of alcohol: 11.3 °
Beer;Westmalle Triple;0,71;4,3;33 cl;westmalle.jpg;19;48;12;Gluten;Open yourself to what is undoubtedly one of the most complex Trappist beers that exist with this Westmalle Triple. Degrees of alcohol: 9,5 °
Beer;Val Dieu Triple;0,73;4,5;33 cl;valdieu.jpg;41;48;12;Gluten;The Val Dieu Triple is a Belgian high fermentation beer brewed in the Val-Dieu Abbey in Aubel following a recipe inspired by the one used by brewers monks. This blond beer with a slightly cloudy dress hides fine bubbles and has a beautiful creamy white foam. Degrees of alcohol: 9 °
Beer;Chouffe;0,65;4,1;33 cl;chouffe.jpg;35;48;12;Gluten;La Chouffe is an unfiltered lager, bottled fermented three times. It is pleasantly fruity, spiced with coriander and slightly hoppy. Degrees of alcohol: 8 °
Beer;Orval;0,77;4,7;33 cl;orval.jpg;17;48;12;Gluten;The Orval Trappist beer is a tasting at the beautiful orange color and has a lovely aromatic nose. It is a beer to intense hop aroma that reveals a slight acidity and astringent wins to mature in the cellar for a few years standing and protected from light. Degrees of alcohol: 6.2 °
Beer;Duvel;0,63;4;33 cl;duvel.jpg;33;48;12;Gluten;Duvel beer is a fruity Belgian beer whose reputation is well established. The set appears extremely fruity anything faintly sweet and harmony of flavors actually mention the presence of alcohol in this lager. Degrees of alcohol: 8.5 °
Beer;Gauloise Blond;0,51;3;33 cl;gauloiseblonde.jpg;37;48;12;Gluten;You will be quickly won over by its nice golden blond color and fine and creamy foam. In the mouth, the blonde Gauloise presents fruity flavors accompanied by spicy wedges. Degrees of alcohol: 6.3 °
Beer;Gauloise Amber;0,51;3;33 cl;gauloiseambree.jpg;32;48;12;Gluten;The Gauloise Amber is characterized by hoppy aroma. It will give you a range of varied flavors. It is highly digestible and refreshing. Degrees of alcohol: 5.5 °
Beer;Gauloise Brown;0,51;3;33 cl;gauloisebrune.jpg;15;24;6;Gluten;Its roasted malt gives it a caramelised taste with hints of caramel, chocolate and spices. It is characterized by a savory balance. Degrees of alcohol: 8.1 °
Alcohol;Pastis Ricard;0,73;4,5;4 cl;pastis.jpg;22;40;10;Lactose;Ricard Pastis is an alcoholic beverage flavored with aniseed and liquorice. It is drunk as an aperitif, supplemented with water. Is generally added to five to seven volumes of fresh water for a volume of pastis.
Alcohol;Martini;0,6;3,9;4 cl;martini.jpg;26;40;10;Sulphite;Martini is an Italian brand of vermouth. It is eaten with ice, lemon or cocktail. Flavours available: Rosso or Bianco.
Alcohol;Martini Royal;0,8;5;4 cl;martiniroyale.jpg;13;40;10;Sulphite;Martini Royale is a wine-based aperitif, inspired by the famous cocktail, exclusive mix between the sweet bitterness of Martini Bianco and Rosso and the bright sparkle of MARTINI Prosecco.
Alcohol;Campari;0,73;4,5;4 cl;campari.jpg;28;40;10;Carmin;Campari is an aperitif par excellence. Its typical bittersweet taste comes from plants, fruits and herbs, combined with sugar and distilled water.
Alcohol;Pisang;0,73;4,5;4 cl;pisang.jpg;35;40;10;Histamin;Pisang is a green banana liqueur and tropical fruits, bright green, whose recipe is based on an Indonesian liquor.
Alcohol;Porto;0,65;4,1;4 cl;porto.jpg;18;40;10;Sulphite;Porto is certainly the most famous fortified wine. Like other fortified wines, it elaborates by adding alcohol to the must during fermentation.
Alcohol;Pineau des Charentes;0,6;3,9;4 cl;pineau.jpg;34;40;10;Sulphite;Pineau des Charentes is a mistelle, quality liqueur wine mash obtained by mixing and eau-de-vie brandy.
Alcohol;Picon;0,72;4,4;4 cl;picon.jpg;31;40;10;Preservative E150b;Picon is a bitter with a caramel color that traditionally accompanies the beer.
Alcohol;Kir Sauvignon;0,71;4,3;4 cl;kir.jpg;23;40;10;Sulphite;Kir is a traditional cocktail of Burgundy cuisine, blackcurrant cream base and Bourgogne Aligoté.
Alcohol;Kir Royal;1,56;9,7;4 cl;kirroyal.jpg;19;40;10;Sulphite;The Kir Royal is a variation of Sauvignon kir, based creme de cassis and champagne.
Alcohol;Mojito;1,15;7,5;25 cl;mojito.jpg;35;50;12;;The Mojito is a rum cocktail, lime and mint leaves.
Alcohol;Cuba Libre;1,15;7,5;25 cl;cubalibre.jpg;41;50;12;;Cuba Libre is a rum cocktail, lime and cola, also known as rum and Coke.
Alcohol;Bloody Mary;1,15;7,5;25 cl;bloodymary.jpg;44;50;12;Celery;Bloody Mary is a more or less strongly spiced cocktail, made with vodka, tomato juice, lemon juice and spices such as pepper, Tabasco sauce, Worcestershire sauce, pepper, celery salt ...
Alcohol;Margarita;1,15;7,5;25 cl;margarita.jpg;42;50;12;Agave;The Margarita is a cocktail made with tequila, cointreau and lemon juice.
Alcohol;Get 27;0,77;4,7;6 cl;get27.jpg;38;50;12;;Get 27 is a liquor mint with essential oils of mint, alcohol, water and sugar. It is eaten with ice or diluted with water.
Alcohol;Grappa;0,87;5,7;4 cl;grappa.jpg;32;50;12;;Grappa is a brandy life grape marc produced in Italy.
Alcohol;Vodka;0,77;4,7;4 cl;vodka.jpg;26;40;10;Gluten;Vodka is a colorless liquor of 40 degrees. This is usually a potato water spirits or grain.
Alcohol;Gin;0,77;4,7;4 cl;gin.jpg;29;40;10;Almond;Gin is an alcoholic beverage obtained by flavoring rectified alcohol of agricultural origin with juniper berries.
Alcohol;Bacardi;0,77;4,7;4 cl;bacardi.jpg;25;40;10;;Bacardi is a white rum produced from sugar cane.
Alcohol;Bailey's;0,77;4,7;4 cl;baileys.jpg;28;30;5;Lactose, Peanut;Baileys Irish Cream is a liquor made from Irish whiskey and cream.
Alcohol;Tequila;0,88;5,8;4 cl;tequila.jpg;31;40;10;Agave;Tequila is an alcoholic drink produced in Mexico from a plant called Agave tequilana. Served with a quarter of lemon and salt.
Alcohol;William Lawson;0,77;4,7;4 cl;williamlawson.jpg;22;40;10;Gluten;William Lawson is called a blend, that is to say a mixture of several kinds of whiskey.
Alcohol;Jack Daniel's;0,85;5,5;4 cl;jackdaniels.jpg;18;40;10;Gluten;The Jack Daniel's is a Tennessee Whiskey, it is mostly made from corn and meets all the criteria for designation of bourbon. 
Alcohol;Amaretto;0,77;4,7;4 cl;amaretto.jpg;24;40;10;Almond;The amaretto is a liqueur with a light scent of bitter almonds, originally from Italy.
Alcohol;Cognac;0,77;4,7;4 cl;cognac.jpg;28;40;10;;Cognac is a fine eau-de-vie made from grapes and aged for at least two and a half years in oak barrels.
Alcohol;Calvados;1,05;6,6;4 cl;calvados.jpg;33;40;10;;Calvados is an eau-de-vie of Norman origin obtained by the distillation of cider or perry.
Alcohol;Cointreau;1,05;6,6;4 cl;cointreau.jpg;27;40;10;;Cointreau is a liquor with a base of sweet and bitter orange peels.
Alcohol;Limoncello;0,83;5,3;4 cl;limoncello.jpg;35;40;10;;Limoncello is a lemon liquor obtained by maceration of lemon peel in alcohol or grappa.
Wine;White Glass;0,63;4;12 cl;vinblanc.jpg;32;50;12;Sulphite;White wine from France Languedoc-Roussillon region. Pear fruity nose followed by exotic fruits. Dry character. Served in a glass.
Wine;White 1/4;1,15;7,5;25 cl;vinblanc.jpg;27;50;12;Sulphite;White wine from France Languedoc-Roussillon region. Pear fruity nose followed by exotic fruits. Dry character. 1/4 pitcher.
Wine;White 1/2;2,15;14;50 cl;vinblanc.jpg;41;50;12;Sulphite;White wine from France Languedoc-Roussillon region. Pear fruity nose followed by exotic fruits. Dry character. 1/2 pitcher.
Wine;White Bottle;3;20;75 cl;vinblanc.jpg;17;24;6;Sulphite;White wine from France Languedoc-Roussillon region. Pear fruity nose followed by exotic fruits. Dry character. Bottle of 75cl.
Wine;Rosé Glass;0,63;4;12 cl;vinrose.jpg;31;50;12;Sulphite;Rosé wine from France region Cotes du Rhone. Fruity nose, with notes of red fruits. Served in a glass.
Wine;Rosé 1/4;1,15;7,5;25 cl;vinrose.jpg;35;50;12;Sulphite;Rosé wine from France region Cotes du Rhone. Fruity nose, with notes of red fruits. 1/4 pitcher.
Wine;Rosé 1/2;2,15;14;50 cl;vinrose.jpg;29;50;12;Sulphite;Rosé wine from France region Cotes du Rhone. Fruity nose, with notes of red fruits. 1/2 pitcher.
Wine;Rosé Bottle;3;20;75 cl;vinrose.jpg;21;24;6;Sulphite;Rosé wine from France region Cotes du Rhone. Fruity nose, with notes of red fruits. 75cl bottle.
Wine;Red Glass;0,63;4;12 cl;vinrouge.jpg;33;50;12;Sulphite, Histamin;Red wine from France Beaujolais region. Expressive nose of cherries, berries. Served in a glass.
Wine;Red 1/4;1,15;7,5;25 cl;vinrouge.jpg;42;50;12;Sulphite, Histamin;Red wine from France Beaujolais region. Expressive nose of cherries, berries. 1/4 pitcher.
Wine;Red 1/2;2,15;14;50 cl;vinrouge.jpg;35;50;12;Sulphite, Histamin;Red wine from France Beaujolais region. Expressive nose of cherries, berries. 1/2 pitcher.
Wine;Red Bottle;3;20;75 cl;vinrouge.jpg;12;24;6;Sulphite, Histamin;Red wine from France Beaujolais region. Expressive nose of cherries, berries. 75cl bottle.
